idnum,state,state2,stfips,zip,region,typebldg,floor,room,basement,windoor,rep,stratum,wave,starttm,stoptm,startdt,stopdt,activity,pcterr,adjwt,dupflag,zipflag,cntyfips,county,fips,Uppm,county_code,log_radon
5081,MN,MN,27,55735,5,1,1,3,N, ,2,4,41,930,930,12088,12288,2.2,9.7,1146.49919,1,0,1,AITKIN,27001,0.502054,0,0.832909123
5082,MN,MN,27,55748,5,1,0,4,Y, ,5,2,40,1615,1615,11888,12088,2.2,14.5,471.366223,0,0,1,AITKIN,27001,0.502054,0,0.832909123
5083,MN,MN,27,55748,5,1,0,4,Y, ,3,2,42,1030,1515,20288,21188,2.9,9.6,433.316718,0,0,1,AITKIN,27001,0.502054,0,1.098612289
5084,MN,MN,27,56469,5,1,0,4,Y, ,2,2,24,1410,1410,122987,123187,1,24.3,461.62367,0,0,1,AITKIN,27001,0.502054,0,0.09531018
5085,MN,MN,27,55011,3,1,0,4,Y, ,3,2,40,600,600,12888,13088,3.1,13.8,433.316718,0,0,3,ANOKA,27003,0.428565,1,1.16315081
5087,MN,MN,27,55014,3,1,0,4,Y, ,5,2,28,2000,2025,121887,122087,1.5,14.5,471.366223,0,0,3,ANOKA,27003,0.428565,1,0.470003629
5088,MN,MN,27,55014,3,1,0,2,Y, ,3,2,33,800,1000,122587,122787,1,18,433.316718,0,0,3,ANOKA,27003,0.428565,1,0.09531018
5089,MN,MN,27,55014,3,1,0,4,Y, ,3,2,36,1000,1730,10188,10188,0.7,25.1,433.316718,0,0,3,ANOKA,27003,0.428565,1,-0.223143551
5090,MN,MN,27,55014,3,1,0,4,Y, ,2,2,44,900,900,20288,20288,1.2,17.5,461.62367,0,0,3,ANOKA,27003,0.428565,1,0.262364264
5091,MN,MN,27,55014,3,1,0,4,Y, ,2,2,47,1040,1040,20288,20288,1.2,20.2,461.62367,0,0,3,ANOKA,27003,0.428565,1,0.262364264
5092,MN,MN,27,55014,3,1,0,4,Y, ,5,2,4,610,610,22988,30388,1.3,23.3,471.366223,0,0,3,ANOKA,27003,0.428565,1,0.336472237
5093,MN,MN,27,55014,3,1,0,4,Y, ,4,2,3,1130,1221,30388,31088,1.4,18.7,461.274696,0,0,3,ANOKA,27003,0.428565,1,0.405465108
5094,MN,MN,27,55025,3,1,0,2,Y, ,2,2,22,815,815,121287,121487,0.4,0,461.62367,0,0,3,ANOKA,27003,0.428565,1,-0.693147181
5095,MN,MN,27,55025,3,0,0,0, , ,5,2,26,1400,1400,121687,121887,1.1,18.8,471.366223,0,0,3,ANOKA,27003,0.428565,1,0.182321557
5096,MN,MN,27,55025,3,1,0,0,Y, ,2,2,41,1600,1600,12688,12888,4.5,7,461.62367,0,0,3,ANOKA,27003,0.428565,1,1.526056303
5097,MN,MN,27,55025,3,1,0,4,Y, ,1,2,43,1205,1205,12088,12288,1.3,33.2,485.435931,0,0,3,ANOKA,27003,0.428565,1,0.336472237
5098,MN,MN,27,55025,3,1,0,4,Y, ,4,2,48,2000,2000,22188,22388,2.1,10.1,461.274696,0,0,3,ANOKA,27003,0.428565,1,0.78845736
5099,MN,MN,27,55038,3,1,0,4,Y, ,5,2,49,1110,1110,33188,40488,5.9,5.7,471.366223,0,0,3,ANOKA,27003,0.428565,1,1.791759469
5100,MN,MN,27,55070,3,1,0,2,Y, ,2,2,1,1900,1900,22388,22588,3.3,8.4,461.62367,0,0,3,ANOKA,27003,0.428565,1,1.223775432
5101,MN,MN,27,55303,3,1,0,2,Y, ,5,2,22,1930,1930,120287,121087,1.8,14.4,471.366223,1,0,3,ANOKA,27003,0.428565,1,0.641853886
5102,MN,MN,27,55303,3,0,0,0, , ,2,2,30,1630,1620,121987,122187,5.4,5.6,461.62367,0,0,3,ANOKA,27003,0.428565,1,1.704748092
5103,MN,MN,27,55303,3,1,0,4,Y, ,2,2,33,1815,1815,122887,123087,6.3,6.1,461.62367,0,0,3,ANOKA,27003,0.428565,1,1.85629799
5105,MN,MN,27,55303,3,1,0,4,Y, ,2,2,37,1500,1530,10188,10188,6.6,8.9,461.62367,0,0,3,ANOKA,27003,0.428565,1,1.902107526
5106,MN,MN,27,55303,3,1,0,2,Y, ,5,2,38,1000,1600,122887,123087,3.1,9.9,471.366223,0,0,3,ANOKA,27003,0.428565,1,1.16315081
5107,MN,MN,27,55303,3,1,0,2,Y, ,3,2,43,1730,1730,11688,11888,6.8,4.9,433.316718,0,0,3,ANOKA,27003,0.428565,1,1.931521412
5108,MN,MN,27,55303,3,1,0,4,Y, ,1,2,41,1750,1645,12888,13088,7,4.6,485.435931,0,0,3,ANOKA,27003,0.428565,1,1.960094784
5109,MN,MN,27,55303,3,1,0,7,Y, ,2,2,44,2210,2210,20288,20288,7.7,4.5,461.62367,0,0,3,ANOKA,27003,0.428565,1,2.054123734
5110,MN,MN,27,55303,3,1,0,4,Y, ,1,2,48,1700,1700,20288,20288,5.2,4.8,485.435931,0,0,3,ANOKA,27003,0.428565,1,1.667706821
5113,MN,MN,27,55303,3,1,0,2,Y, ,1,2,2,2030,2030,22688,22888,2.8,8.4,485.435931,0,0,3,ANOKA,27003,0.428565,1,1.064710737
5115,MN,MN,27,55303,3,0,0,0, , ,3,2,2,800,900,30388,31188,1.6,12.8,433.316718,0,0,3,ANOKA,27003,0.428565,1,0.530628251
5116,MN,MN,27,55304,3,1,0,0,Y, ,3,2,22,1905,1325,120287,121187,4.2,9.5,433.316718,0,0,3,ANOKA,27003,0.428565,1,1.458615023
5117,MN,MN,27,55304,3,0,0,0, , ,1,2,23,2040,2230,32288,32688,5.4,10.2,485.435931,0,0,3,ANOKA,27003,0.428565,1,1.704748092
5118,MN,MN,27,55304,3,1,0,2,Y, ,1,2,28,1600,1815,121387,121587,4,9.9,485.435931,0,0,3,ANOKA,27003,0.428565,1,1.410986974
5119,MN,MN,27,55304,3,1,0,4,Y, ,5,2,34,1003,1003,11488,11688,2.3,10.1,471.366223,0,0,3,ANOKA,27003,0.428565,1,0.875468737
