Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
99ec380f-e798-4294-a76b-bc7a81f1bf5e,42bb0aa2-9149-4d8b-93e1-e4649a823cbb,Fully Paid,259380,Long Term,684.0,1885427.0,4 years,Home Mortgage,Debt Consolidation,16497.32,16.5,32.0,9,0,333222,631466.0,0.0,0.0
f9f71676-facb-457e-86a6-ab6198675e78,9077195c-031c-47a7-b1fe-af71d3942b70,Fully Paid,99999999,Short Term,741.0,1360989.0,10+ years,Home Mortgage,Debt Consolidation,15424.39,18.0,,12,0,293455,470602.0,0.0,0.0
cf49f145-0e4e-4b5e-88b8-e10b2855d669,8b970b24-6d03-45b6-8d8f-2bcb79765d07,Fully Paid,542256,Long Term,723.0,2285320.0,4 years,Home Mortgage,Debt Consolidation,32565.81,14.0,,16,0,288800,1019480.0,0.0,0.0
696ea56b-18ac-4841-b4d0-a249279fe061,af944c9b-cde6-43d1-a7fa-7f30840d6d6f,Fully Paid,220660,Long Term,,,10+ years,Rent,Debt Consolidation,10852.99,32.1,58.0,10,3,134786,283778.0,2.0,0.0
839958ef-641f-4fdc-976c-80944c6e82d8,f011d77e-9174-4253-b085-465667789ee1,Fully Paid,313412,Short Term,,,8 years,Home Mortgage,Home Improvements,15008.67,18.7,12.0,17,0,215726,343112.0,0.0,0.0
c3151f75-e874-43bb-b074-a334a9b55936,396e7d4e-986c-4f33-bf55-2d5187bda9a0,Fully Paid,435336,Short Term,710.0,3383748.0,7 years,Rent,Debt Consolidation,23545.18,26.6,14.0,14,1,358663,444158.0,1.0,0.0
6ad18b7d-92eb-4781-b744-1674404f9f68,4f48def0-d630-4849-8204-9ab29ec29050,Fully Paid,267740,Short Term,720.0,1214005.0,10+ years,Home Mortgage,Debt Consolidation,19423.89,28.6,15.0,23,0,211166,305646.0,0.0,0.0
444a956c-ac6c-4988-a63e-109290d52660,e4f235d2-1867-4741-813e-9896f760ceb6,Fully Paid,86218,Short Term,,,1 year,Rent,Debt Consolidation,12721.07,13.9,,6,1,27322,158202.0,1.0,0.0
39e73eec-5f3d-4b26-aba2-1dedad38ba1f,31913507-a773-42ea-950c-2bdd51a6d9bb,Charged Off,348084,Long Term,624.0,845519.0,10+ years,Home Mortgage,other,5016.76,20.1,22.0,7,0,75772,115302.0,0.0,0.0
989e0260-666f-45db-b6ba-4b4f399f0b45,f878c994-bb75-4e7d-944b-07644a98c727,Fully Paid,456852,Long Term,702.0,968240.0,< 1 year,Rent,Debt Consolidation,17331.42,17.0,,23,0,211109,1018534.0,0.0,0.0
689b680f-7a42-4012-b89b-4b3c0fc6aa88,ea28d3e0-810b-4f8f-88a7-51f74473cbc8,Charged Off,79002,Short Term,731.0,587594.0,,Own Home,other,5386.31,16.9,9.0,4,0,201115,432036.0,0.0,0.0
5417b412-abad-49b7-84a3-0e15c3a191e7,441f99a9-31c4-4631-b5db-ea162f4c0504,Charged Off,224664,Short Term,730.0,1008938.0,3 years,Rent,Debt Consolidation,21524.15,12.4,6.0,10,0,152418,319110.0,0.0,0.0
110c0200-1b9c-4e87-8ceb-c8f62479d1dc,204a6778-68c8-44ed-a39c-f6309d04afce,Fully Paid,391446,Long Term,676.0,965371.0,5 years,Rent,Debt Consolidation,15534.4,18.1,,11,1,256519,354442.0,1.0,0.0
a0f19fef-c88b-40e1-aa39-5daf5b81d605,ed961dbf-6c86-447c-b8e1-4429bd7078e8,Fully Paid,99999999,Long Term,746.0,1412175.0,< 1 year,Home Mortgage,Debt Consolidation,28714.32,14.3,,14,0,242497,905762.0,0.0,0.0
121efa36-c63f-4a62-808c-0a41d9d11033,7ec9662f-8f3a-4767-ba8a-180173860a76,Fully Paid,99999999,Long Term,734.0,1622885.0,10+ years,Home Mortgage,Debt Consolidation,20691.76,17.8,,8,0,413763,1028104.0,0.0,0.0
18bacec3-ebec-425f-82f1-b5851f1058d4,f21ad350-5129-4c35-a439-989fe7efcb85,Fully Paid,135212,Short Term,,,2 years,Rent,Debt Consolidation,3503.41,12.8,,6,0,140828,184866.0,0.0,0.0
56ff9b12-ec7c-40a1-b98b-980c5b264aaf,cf4d5d5b-3ed3-478c-9a30-3a4f2d50cefa,Charged Off,426404,Short Term,680.0,1153794.0,3 years,Home Mortgage,Buy House,1749.9,19.7,,4,0,86184,372372.0,0.0,0.0
605a0dc6-5886-4ec7-9972-8e4b27f40ac1,757dd218-8ddf-4260-916d-443c5bfc7046,Charged Off,171666,Short Term,,,7 years,Rent,Debt Consolidation,11490.25,26.7,,4,0,234156,459536.0,0.0,0.0
e5c9da4b-a6d6-443a-b9b2-cdf34684702e,dab95c87-e9b5-4b22-bf0a-f05597deff49,Fully Paid,348898,Short Term,666.0,1138860.0,2 years,Own Home,Home Improvements,797.24,16.5,,6,1,27075,121000.0,1.0,0.0
67573631-be2a-4e92-b741-d8d8170042b4,cf9bcff2-4602-4298-967d-b3c399372373,Charged Off,330924,Short Term,698.0,1505199.0,10+ years,Rent,Debt Consolidation,5105.11,27.5,,5,0,248216,322212.0,0.0,0.0
c019d94c-e095-47fe-affc-33be6d074430,602fff9d-282a-44b0-b9b4-8fc89248585f,Fully Paid,222156,Long Term,695.0,690707.0,,Rent,Debt Consolidation,3528.3,13.9,30.0,6,0,88597,288970.0,0.0,0.0
5faaae39-5631-454b-996d-b7c9b89dc537,72c47533-621a-4986-b767-4dffff01d0db,Fully Paid,99999999,Short Term,655.0,1263652.0,10+ years,Rent,Other,25378.49,20.2,22.0,4,0,136306,195822.0,0.0,0.0
43e41b66-65dc-42bc-af0f-decf11c40bed,82edd6b2-c0b3-46bb-bcfc-4f6f33956cfa,Fully Paid,520630,Short Term,,,< 1 year,Rent,Debt Consolidation,20861.05,8.8,,22,0,463771,733612.0,0.0,0.0
203a9719-f586-4dd8-a569-ca98c189c289,e22b5fce-90b4-4ebf-b8e9-937810b0c0fc,Fully Paid,141438,Short Term,726.0,676552.0,10+ years,Home Mortgage,Debt Consolidation,5085.35,11.4,,12,0,119510,609576.0,0.0,0.0
fcdd4b72-2801-4507-9ac4-71118bdfb6c4,9944432a-b71a-4aa6-8aaf-afa90450b5b1,Fully Paid,99999999,Short Term,747.0,3156033.0,2 years,Home Mortgage,Debt Consolidation,28141.28,43.7,12.0,17,0,761083,1258950.0,0.0,0.0
ba309a5b-7749-42a3-98ce-80bd1d4a4a2d,2b7f1897-d432-4451-8ef4-de25393d8ed6,Fully Paid,66154,Short Term,737.0,952090.0,5 years,Home Mortgage,Other,10711.06,11.0,,7,0,54929,227194.0,0.0,0.0
